feature,correlation_with_success,success_group_mean,failure_group_mean,absolute_correlation
Visibility_km,0.1252867913566384,12.656376000000002,11.437858,0.1252867913566384
Predator_Sightings,-0.09615763563103795,2.6324,2.954,0.09615763563103795
Flock_Size,0.0912502032898632,15.827,12.8448,0.0912502032898632
Average_Speed_kmph,0.08928210215532398,56.681674,53.472283999999995,0.08928210215532398
Wind_Speed_kmph,-0.08737855779995772,20.108756,22.21518,0.08737855779995772
Flight_Duration_hours,-0.07184696050000068,36.384952,40.59836,0.07184696050000068
Max_Altitude_m,0.06587886976946976,1845.6430520000004,1759.0777979999996,0.06587886976946976
Min_Altitude_m,0.05663407672998209,1205.709612,1129.224984,0.05663407672998209
Start_Latitude,0.03977161964615616,9.04252738,6.19083204,0.03977161964615616
End_Latitude,0.0384055153351129,8.60663486,5.6181966999999995,0.0384055153351129
Rest_Stops,0.03406768931647014,4.0588,3.9232,0.03406768931647014
Flight_Distance_km,-0.031631279878697155,1717.541248,1783.9410440000001,0.031631279878697155
Humidity_%,0.014225555853122218,60.058838,59.552642000000006,0.014225555853122218
Temperature_C,0.010797774985019458,18.117246,17.925594,0.010797774985019458
End_Longitude,0.005655250982751884,0.3184488600000002,-0.81036736,0.005655250982751884
Pressure_hPa,-0.004551706841239001,1012.805096,1012.9640800000001,0.004551706841239001
Start_Longitude,0.0012562842475637831,0.5861805400000003,0.3404668599999999,0.0012562842475637831
