Model,Accuracy,Precision,Recall,F1,ROC-AUC,Training_Time_sec
Random Forest - Baseline,0.8215,0.8345,0.802,0.818,0.8981,0.8865482807159424
Random Forest - Tuned,0.817,0.8235,0.807,0.8152,0.899,55.38646054267883
